,address,value
92,lat15d8gkunac0t2np8sp9t7q000a4csh9aakfsenn,10000000.000000002
93,lat16etp0c75fj4nw72ske3926t80j8s0yhqgf5kml,10000000.000000002
94,lat16qxmm8gsun5xpcw7nwhhng2jd6lt2x3th3k7rf,10000000.000000002
95,lat16wn9jhtkf7f34ekhuhncm788px5v3tugqglktd,10000000.000000002
96,lat17l8vxa5yexagvu06g7h8ugaaqgtfzkukpayjfg,10000000.000000002
97,lat18htch9ktgff3vd8fuua6wc8c5wrdpytpr07w7w,10000000.000000002
98,lat19332vj7q866zgjmkemn9k4r0hn0gp4p2mvwngn,10000000.000000002
99,lat194uklqdxqhcdar64yv3fcmrqev3u2a99lue5gs,10000000.000000002
100,lat19f4qt9crh7wxxe27x69mgjd6764wzgx5swlqlk,10000000.000000002
101,lat1aj0jumn8wce7w46ry8ndu0jggqsg8sxl235u0l,10000000.000000002
102,lat1aphqnagwv9hm89yvtjpwl4lj3terk3j5784at4,10000000.000000002
103,lat1aw9xpqvh4pv5psgnjh76hvz8kgp04nstls5nek,10000000.000000002
104,lat1ax2pe9nmvljc7kadkmd8xd3tk89t3hc6fdrvas,10000000.000000002
105,lat1cgwlcrrnfd3drwukugrnwqspm4fvhayvrcf6sa,10000000.000000002
106,lat1es2lk6d4wg5revtypuqxyh7qlv8w0l6luhevdy,10000000.000000002
107,lat1gxvguy52tj0azmlny4l0gh9hykcjv7rad4zhxy,10000000.000000002
108,lat1j4sznr295j4pw5r56fkhnczc82cfuc3ndfj9re,10000000.000000002
109,lat1jtjls8kxzpsajnwmk8dwn3pu48z7wcnpfyckkn,10000000.000000002
110,lat1kfp59h2amwtgxcks6jna3mgpweeplp79mqg7c4,10000000.000000002
111,lat1kjm8uem2v4kw4wkdlj0gua7za3p3r2xclnjngx,10000000.000000002
112,lat1kzvm5cjfrrkuy6ad849g0u5r6nmgg76efrq2ks,10000000.000000002
113,lat1l4mkw424yjqrjm20wre5ft0pgsvltwaqla4du8,10000000.000000002
114,lat1l5n8uvdde4ydk5vcttdrqp8llltjjc2fjamrww,10000000.000000002
115,lat1lpnxm32gclt0jsgl2av7euq8tpj5sh8nrt9r2f,10000000.000000002
116,lat1pqy0ej206dlmqxwr532d2pw7f9yfeg44ep5k3q,10000000.000000002
117,lat1qgw93pa36gvzfs7pq4zutgd3x8c4jfgnzh5a3j,10000000.000000002
118,lat1qkw8h6tmnk8c3w7uqkeyp9ap4ue08yyy5wyqa8,10000000.000000002
119,lat1r90u6kuvz9jufedjhxs6d0mrf6mlusq0vyczcz,10000000.000000002
120,lat1rhzpyvsluv53t9wdrxc9qj748xrn99nmkdf923,10000000.000000002
121,lat1rvqa4xaa3jzsukzq68haj5ccyt39ackm4cly7s,10000000.000000002
122,lat1skz3hu7l0r5mpufy58hlvkzhe96p358y23xxks,10000000.000000002
123,lat1ssg42rsf7cp2q79udu370jc4wj9urr8t7s09rp,10000000.000000002
124,lat1uglrz2hmuj6kp3cat2qttfn7dlx6yfg50awhsy,10000000.000000002
125,lat1ul4rj2q98nrgsrdyugkl4rduer0mja7xlfhkes,10000000.000000002
126,lat1v8ja7e5lltyuvk3r75xyjjmeqhrnhxj9v7388y,10000000.000000002
127,lat1vgzywhds0lc7y4ecc4zxuptugkr2z5ezt60pp7,10000000.000000002
128,lat1yrmcl3pthv3646ewn7seclhry9jdx7fkus2f60,10000000.000000002
129,lat1xn7cty23nyftj7slharj53eyfata54zx7sf96g,6693.190512216805
130,lat1xnj49e50kx8meethqzlm5v0jpgqquywapa0t8l,2083333.7600360226
131,lat1m9034kppm4zx3jh7kx45vw0avnwep2rzfn9243,8000000.0
132,lat1ttpq454ar754sx59ak92juukn4nqpypxy73ej6,500.71967631997984
133,lat1qepy4qk355snhrk5lwsj6elt77lrwtul93gvaj,320.6447755948503
134,lat1ngrpe8upcu3zhq03pl2lxgxzye0url346kwlfs,231.16605615986188
135,lat1xvm279skgqud7s8esh9wuhnhyp2z7aegsxqaj5,0.9415023917233755
136,lat12wnczkc0gztqjd2lvm7xlahknqjz30wq8s8rz0,0.8015678666838737
137,lat1h4254pkhj2ga5te7h597cw4r4r89uxwm7h63ua,0.7846705443461361
138,lat103a5mf4g6crr95rj5eqczantdd6jcdvp59llcc,0.7701438696963906
139,lat1gxfl202a5f379w408h8l57c2cfp49hx4r7nt24,0.727688688602543
140,lat160agmrl4qu349q009a9vceay6669t74cf9j846,0.6947215021967761
141,lat1m3weyd3qc5m79gdlmmf64cqqdjrzlrjmkh6tdc,0.682239444137874
142,lat19fpt8jd5cjut3ypxe8cm25y2k7hgke0h64yhek,0.6416546634012805
143,lat1uv0sr4lnxr2e04l9d2j5yfkj3xv0r3w4kuethg,0.6288813849139949
144,lat1rpw7t6k704nhvth2n4cu0tz856q9fhkeezrpre,0.6141289962975461
145,lat18998j7x95eheln8cfd0r7j2g5jftku93rqjf8y,0.5502178526635608
146,lat1z6c47y8rss5dfa8dns3g4dta7vgtn8zw2lnh2e,0.5489737873015753
147,lat12s2yq6alqhc376ved0yfflanlgrsn4fyht4jgv,0.45234985974009245
148,lat1taew42mfv60n036ez6uyeg2cx7xteav88zp0w7,0.39187599803813605
149,lat12yx6mn2am5g5lps47hflq858w8g78v6vls9pn2,0.35975981229728177
150,lat106r7pkkk5c4u44qf4nz3rex5a3lzhs0puzfafw,0.29029554527785256
151,lat1myrrpc5s9276p22dfrnd0n237rqcnfkmmjc7al,0.265860354827521
152,lat15sagqn2xteu8vqnnawtuqvtnt4mxgknkjlhcfa,0.22103245000000002
153,lat1jgsp7kksw7mhmj7vqkn6y6u2lu7ffjqj8234zd,0.18168187771361852
154,lat1g277ymf0jc8s3ztp5gf5eswl2yn6dhfwmzats5,0.16034629370278589
155,lat1gtezta9yvnw3auz6txgqv4mc70d5wl2sxlwxxq,0.13861211119521563
156,lat16f7u0g8kend53hx54z0pzk7q0nmc69dwdlafgh,0.10417484935074983
157,lat1vt8nlhm9xe7l6xgstxhcsr99nvak5etpaxtsw3,2.6e-09
158,lat16mkte6j4wqegsjsnj573lagqypy3hmaxxywv23,89.46132793129476
159,lat1h958hylhddjc7sp2vryucktf6zkk5ra0pqucnw,311.9973002598727
160,lat1hemx29p20fnlkkjhp2x48njtwcugf3fhfqxsnx,5406069.910012171
161,lat1hs3xzhgyae2a358eepc454tnk8hj8qjlc2zc4k,0.42492741
162,lat1kdqu4za9hr9v60wm86nc27cvsq55d9w9s9l3h4,5000000.000000001
163,lat13vcctxleu5x6d72ghypzsw3lrfe3h52h535qvl,10794.897404952957
164,lat1putxmauu7xpdkacqvvymv7zkx5ny426aevwv8d,500.96963877951606
165,lat1g3nnje0u9masa38xmna3u30yv909g9pyjnd5hm,0.29859230366948886
166,lat1k4929k6rjfylrcfxmjvkca4hgchzu0nku0v76y,0.24062822484510757
167,lat13rjj56j2fuz6vw2kc35ctgd6ap06kp6p8yfc0u,0.09979
168,lat1z0v2yj6x77xg99z9jnx475lmrpej5rslhg53we,0.7236372856688653
169,lat1wd6w3ydcthgyfm7dslzr58y7zh4kwjz8y3zx7u,0.024810770000000003
170,lat17vv4xjyaj4srhwm8myp6596263fl2ujafyl5j5,1692.562652839388
171,lat1pgyyvqequv093plc9nlttgsyfraugx3lf43m77,15.540682413121946
172,lat1zwyqgr4ud4tnfkggatmlptlwv4ph2q7rnlz7kp,0.10004840453755726
173,lat1fwzdn0cjzg840hnp6kr4glm6xn7jxtym94c2jm,8044.124750199552
174,lat1yk9lrfrjz0e4xq0e5zkjk32w37xjex6gpzpsjz,0.5453808850518288
175,lat12me7gpr960ac3tuhdw02dxjwt6zvklzykap5fg,10757.71156138166
176,lat1pq2fx46xxnea6pu3xsp64u95yrw2tatc5n2evx,9689.20330216803
177,lat12v7fyhxcsg927qtap9vfulgny4y7gs2gj5gqhw,113416.16358215641
178,lat1xuwcg9lxd3wwezg44h6pd293gey53g0ekuadnw,2.6e-09
179,lat1270ucdmjg33gam62ze9rt952gwzdle30f26rcc,2500000.0000000005
180,lat16awd30czy9qm3c5wkry3tcegh6sldp9xtfwj8z,2500000.0000000005
181,lat17k63pdxklr235wlepkmp8gnwe8eqte2csphgv3,2500000.0000000005
182,lat19g0ft8vq54y9n2rwqw5edjy96vkdh8kpz8dq77,2500000.0000000005
183,lat1c7hxvk2kc25ducpradzt4xep8yy3lawtl0l6fg,2500000.0000000005
